Match ID,Innings Number,From Over,To Over,Powerplay Type
980939,1,0.1,5.6,mandatory
980939,2,0.1,5.7,mandatory
1304049,1,0.1,5.6,mandatory
1304049,2,0.1,5.6,mandatory
1529281,1,0.1,5.6,mandatory
1529281,2,0.1,5.6,mandatory
1304048,1,0.1,5.6,mandatory
1304048,2,0.1,5.6,mandatory
1529280,1,0.1,5.6,mandatory
1529280,2,0.1,5.6,mandatory
1178398,1,0.1,5.6,mandatory
1178398,2,0.1,5.7,mandatory
1136598,1,0.1,5.6,mandatory
1136598,2,0.1,5.6,mandatory
1473488,1,0.1,5.6,mandatory
1473488,2,0.1,5.6,mandatory
1473467,1,0.1,5.6,mandatory
1473467,2,0.1,5.6,mandatory
1136577,1,0.1,5.6,mandatory
1136577,2,0.1,5.6,mandatory
1426305,1,0.1,5.6,mandatory
1426305,2,0.1,5.6,mandatory
1254099,1,0.1,5.6,mandatory
1254099,2,0.1,5.6,mandatory
1527676,1,0.1,5.6,mandatory
1527676,2,0.1,5.6,mandatory
1136609,1,0.1,5.6,mandatory
1136609,2,0.1,5.7,mandatory
1359526,1,0.1,5.6,mandatory
1359526,2,0.1,5.6,mandatory
1254076,1,0.1,5.7,mandatory
1254076,2,0.1,5.6,mandatory
392236,1,0.1,5.6,mandatory
392236,2,0.1,5.7,mandatory
829709,1,0.1,5.6,mandatory
829709,2,0.1,5.7,mandatory
548353,1,0.1,5.7,mandatory
548353,2,0.1,5.7,mandatory
336003,1,0.1,5.7,mandatory
336003,2,0.1,5.7,mandatory
980979,1,0.1,5.6,mandatory
980979,2,0.1,5.6,mandatory
1359475,1,0.1,5.6,mandatory
1359475,2,0.1,5.6,mandatory
392220,1,0.1,5.6,mandatory
392220,2,0.1,5.6,mandatory
1254060,1,0.1,5.6,mandatory
1254060,2,0.1,5.6,mandatory
1359530,1,0.1,5.6,mandatory
1359530,2,0.1,5.6,mandatory
548345,1,0.1,5.6,mandatory
548345,2,0.1,5.6,mandatory
336015,1,0.1,5.6,mandatory
336015,2,0.1,5.6,mandatory
1178418,1,0.1,5.6,mandatory
1178418,2,0.1,5.6,mandatory
1529279,1,0.1,5.7,mandatory
1529279,2,0.1,5.8,mandatory
1529296,1,0.1,5.8,mandatory
1529296,2,0.1,5.7,mandatory
548312,1,0.1,5.6,mandatory
548312,2,0.1,5.7,mandatory
1216497,1,0.1,5.6,mandatory
1216497,2,0.1,5.6,mandatory
1136561,1,0.1,5.6,mandatory
1136561,2,0.1,5.6,mandatory
1473471,1,0.1,3.6,mandatory
1473471,2,0.1,3.6,mandatory
501238,1,0.1,5.7,mandatory
501238,2,0.1,5.9,mandatory
1254109,1,0.1,5.6,mandatory
1254109,2,0.1,5.6,mandatory
1426295,1,0.1,5.6,mandatory
1426295,2,0.1,5.6,mandatory
980955,1,0.1,5.6,mandatory
980955,2,0.1,5.6,mandatory
419141,1,0.1,5.6,mandatory
419141,2,0.1,5.6,mandatory
1082621,1,0.1,5.6,mandatory
1082621,2,0.1,5.6,mandatory
336039,1,0.1,5.6,mandatory
336039,2,0.1,5.6,mandatory
501243,1,0.1,5.6,mandatory
501243,2,0.1,5.7,mandatory
829733,1,0.1,5.6,mandatory
829733,2,0.1,5.6,mandatory
1216546,1,0.1,5.6,mandatory
1216546,2,0.1,5.6,mandatory
548369,1,0.1,5.6,mandatory
548369,2,0.1,5.6,mandatory
598071,1,0.1,5.6,mandatory
598071,2,0.1,5.6,mandatory
1529310,1,0.1,5.6,mandatory
1529310,2,0.1,5.6,mandatory
734001,1,0.1,5.6,mandatory
734001,2,0.1,5.6,mandatory
1304072,1,0.1,5.6,mandatory
1304072,2,0.1,5.6,mandatory
335992,1,0.1,5.6,mandatory
335992,2,0.1,5.6,mandatory
501214,1,0.1,5.6,mandatory
501214,2,0.1,5.6,mandatory
1181768,1,0.1,5.6,mandatory
1181768,2,0.1,5.7,mandatory
419116,1,0.1,5.6,mandatory
419116,2,0.1,5.6,mandatory
598026,1,0.1,5.6,mandatory
598026,2,0.1,5.6,mandatory
1216511,1,0.1,5.7,mandatory
1216511,2,0.1,5.6,mandatory
734017,1,0.1,5.7,mandatory
734017,2,0.1,5.7,mandatory
1529306,1,0.1,5.6,mandatory
1529306,2,0.1,5.6,mandatory
1178422,1,0.1,5.6,mandatory
1178422,2,0.1,5.6,mandatory
1304064,1,0.1,5.6,mandatory
1304064,2,0.1,5.6,mandatory
335984,1,0.1,5.6,mandatory
335984,2,0.1,5.7,mandatory
501202,1,0.1,5.6,mandatory
501202,2,0.1,5.6,mandatory
1216507,1,0.1,5.6,mandatory
1216507,2,0.1,5.6,mandatory
548328,1,0.1,5.6,mandatory
548328,2,0.1,5.6,mandatory
598030,1,0.1,5.6,mandatory
598030,2,0.1,5.6,mandatory
980943,1,0.1,5.6,mandatory
980943,2,0.1,5.7,mandatory
1426283,1,0.1,5.7,mandatory
1426283,2,0.1,5.6,mandatory
501255,1,0.1,5.6,mandatory
501255,2,0.1,3.7,mandatory
1082637,1,0.1,5.6,mandatory
1082637,2,0.1,5.6,mandatory
419157,1,0.1,5.6,mandatory
419157,2,0.1,5.6,mandatory
598067,1,0.1,5.7,mandatory
598067,2,0.1,5.6,mandatory
829725,1,0.1,5.6,mandatory
829725,2,0.1,5.6,mandatory
1473484,1,0.1,5.7,mandatory
1473484,2,0.1,5.6,mandatory
1136594,1,0.1,5.7,mandatory
1136594,2,0.1,5.7,mandatory
1178394,1,0.1,5.6,mandatory
1178394,2,0.1,5.6,mandatory
1216527,1,0.1,5.6,mandatory
1216527,2,0.1,5.6,mandatory
548308,1,0.1,5.6,mandatory
548308,2,0.1,5.6,mandatory
598010,1,0.1,5.6,mandatory
598010,2,0.1,5.6,mandatory
419120,1,0.1,5.6,mandatory
419120,2,0.1,5.6,mandatory
1082640,1,0.1,5.6,mandatory
1082640,2,0.1,5.6,mandatory
501222,1,0.1,5.7,mandatory
501222,2,0.1,5.6,mandatory
1178402,1,0.1,5.6,mandatory
1178402,2,0.1,5.6,mandatory
1304101,1,0.1,5.7,mandatory
1304101,2,0.1,5.6,mandatory
734037,1,0.1,5.6,mandatory
734037,2,0.1,5.7,mandatory
598047,1,0.1,5.7,mandatory
598047,2,0.1,5.6,mandatory
829705,1,0.1,5.6,mandatory
829705,2,0.1,5.6,mandatory
1422126,1,0.1,5.7,mandatory
1422126,2,0.1,5.6,mandatory
1082617,1,0.1,5.6,mandatory
1082617,2,0.1,5.6,mandatory
1136605,1,0.1,5.6,mandatory
1136605,2,0.1,5.6,mandatory
980963,1,0.1,5.6,mandatory
980963,2,0.1,5.6,mandatory
1370352,1,0.1,5.7,mandatory
1370352,2,0.1,5.6,mandatory
1254095,1,0.1,5.6,mandatory
1254095,2,0.1,5.6,mandatory
1426309,1,0.1,5.6,mandatory
1426309,2,0.1,5.7,mandatory
1359480,1,0.1,5.6,mandatory
1359480,2,0.1,5.6,mandatory
597998,1,0.1,5.6,mandatory
597998,2,0.1,5.6,mandatory
1422130,1,0.1,5.6,mandatory
1422130,2,0.1,5.6,mandatory
829713,1,0.1,5.6,mandatory
829713,2,0.1,5.6,mandatory
548349,1,0.1,5.6,mandatory
548349,2,0.1,5.6,mandatory
598051,1,0.1,5.6,mandatory
598051,2,0.1,5.6,mandatory
419161,1,0.1,5.6,mandatory
419161,2,0.1,5.7,mandatory
1082601,1,0.1,5.6,mandatory
1082601,2,0.1,5.6,mandatory
336019,1,0.1,5.6,mandatory
336019,2,0.1,5.6,mandatory
501263,1,0.1,5.6,mandatory
501263,2,0.1,5.6,mandatory
1359479,1,0.1,5.6,mandatory
1359479,2,0.1,5.6,mandatory
1254083,1,0.1,5.6,mandatory
1254083,2,0.1,5.6,mandatory
980975,1,0.1,5.6,mandatory
980975,2,0.1,5.6,mandatory
1136613,1,0.1,5.6,mandatory
1136613,2,0.1,5.6,mandatory
1527683,1,0.1,5.6,mandatory
1527683,2,0.1,5.6,mandatory
1359496,1,0.1,5.6,mandatory
1359496,2,0.1,5.6,mandatory
598006,1,0.1,5.6,mandatory
598006,2,0.1,5.6,mandatory
1216531,1,0.1,5.7,mandatory
1216531,2,0.1,5.6,mandatory
1136582,1,0.1,5.6,mandatory
1136582,2,0.1,5.6,mandatory
1473492,1,0.1,5.6,mandatory
501234,1,0.1,5.6,mandatory
501234,2,0.1,5.6,mandatory
733971,1,0.1,4.6,mandatory
733971,2,0.1,4.6,mandatory
419136,1,0.1,5.6,mandatory
419136,2,0.1,5.6,mandatory
1304052,1,0.1,5.7,mandatory
1304052,2,0.1,5.7,mandatory
1529275,1,0.1,5.6,mandatory
1529275,2,0.1,5.6,mandatory
1178414,1,0.1,5.6,mandatory
1178414,2,0.1,5.6,mandatory
